"region_code","region_name","old_la_code","la_name","new_la_code"
"E12000008","South East","868","Windsor and Maidenhead","E06000040"
"E12000008","South East","872","Wokingham","E06000041"
"E12000009","South West","800","Bath and North East Somerset","E06000022"
"E12000009","South West","837","Bournemouth","E06000028"
"E12000009","South West","839","Bournemouth, Christchurch and Poole","E06000058"
"E12000009","South West","801","Bristol, City of","E06000023"
"E12000009","South West","908","Cornwall","E06000052"
"E12000009","South West","x","Cornwall and Isles of Scilly","E10000005"
"E12000009","South West","878","Devon","E10000008"
"E12000009","South West","835","Dorset","E10000009"
"E12000009","South West","838","Dorset","E06000059"
"E12000009","South West","916","Gloucestershire","E10000013"
"E12000009","South West","420","Isles of Scilly","E06000053"
"E12000009","South West","802","North Somerset","E06000024"
"E12000009","South West","879","Plymouth","E06000026"
"E12000009","South West","836","Poole","E06000029"
"E12000009","South West","933","Somerset","E06000066"
"E12000009","South West","803","South Gloucestershire","E06000025"
"E12000009","South West","866","Swindon","E06000030"
"E12000009","South West","880","Torbay","E06000027"
"E12000009","South West","x","Wiltshire","E10000033"
"E12000009","South West","865","Wiltshire","E06000054"
"z","Outside of England and unknown","z","Outside of England and unknown","z"
